<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBERP,60,20200123,120000,235.0500000,236.1700000,235.0100000,235.5700000,727590
SBERP,60,20200123,130000,235.5300000,235.5300000,234.3800000,234.4800000,539310
SBERP,60,20200123,140000,234.4800000,234.6800000,234.0200000,234.1500000,491560
SBERP,60,20200123,150000,234.1900000,235.3900000,234.0800000,235.1400000,719010
SBERP,60,20200123,160000,235.2000000,235.8900000,235.1100000,235.3600000,482310
SBERP,60,20200123,170000,235.3600000,235.6000000,234.7800000,234.9800000,494470
SBERP,60,20200123,180000,234.9800000,234.9800000,233.5000000,233.6900000,1172230
SBERP,60,20200123,190000,233.7800000,233.8000000,233.0600000,233.7700000,847940
SBERP,60,20200124,110000,235.0000000,235.9000000,234.5700000,235.6400000,584750
SBERP,60,20200124,120000,235.5300000,236.2900000,234.2200000,235.7000000,920370
SBERP,60,20200124,130000,235.6700000,235.8100000,234.0300000,234.2200000,667260
SBERP,60,20200124,140000,234.2300000,234.9000000,233.7300000,233.9500000,286510
SBERP,60,20200124,150000,234.0000000,235.2500000,233.9300000,235.2000000,231220
SBERP,60,20200124,160000,235.2000000,235.6800000,234.8800000,235.0400000,292820
SBERP,60,20200124,170000,235.1200000,235.5000000,234.5300000,235.1100000,238140
SBERP,60,20200124,180000,235.1100000,235.1400000,233.9600000,234.7500000,258420
SBERP,60,20200124,190000,234.8700000,235.2000000,234.1100000,234.6100000,249210
SBERP,60,20200127,110000,232.4000000,232.4000000,229.3100000,230.2600000,2177260
SBERP,60,20200127,120000,230.2000000,231.1400000,230.1600000,230.5100000,625050
SBERP,60,20200127,130000,230.5100000,230.5400000,228.6200000,228.8000000,1559980
SBERP,60,20200127,140000,228.7000000,228.8500000,227.5000000,228.5700000,833670
SBERP,60,20200127,150000,228.5200000,229.4700000,227.5300000,228.7000000,584280
SBERP,60,20200127,160000,228.7000000,229.4600000,228.2100000,228.2600000,350220
SBERP,60,20200127,170000,228.3100000,228.3100000,227.1400000,227.4200000,526880
SBERP,60,20200127,180000,227.3700000,228.5500000,227.0000000,228.2400000,730160
SBERP,60,20200127,190000,228.2800000,230.1800000,227.8600000,228.5100000,708150
SBERP,60,20200128,110000,229.6100000,230.4500000,228.5600000,228.8800000,778360
SBERP,60,20200128,120000,228.7900000,229.3000000,227.3600000,227.6200000,477130
SBERP,60,20200128,130000,227.4600000,227.6300000,226.0000000,227.0800000,803090
SBERP,60,20200128,140000,227.0600000,228.4900000,226.4900000,227.8800000,598440
SBERP,60,20200128,150000,227.9000000,229.0000000,227.4200000,228.9900000,323710
SBERP,60,20200128,160000,228.9400000,230.1000000,228.7000000,229.5200000,623550
SBERP,60,20200128,170000,229.5700000,230.0700000,228.9300000,228.9400000,480120
SBERP,60,20200128,180000,228.9900000,229.4300000,228.3100000,229.3600000,457490
SBERP,60,20200128,190000,229.3600000,230.0000000,229.0800000,229.8600000,346270
